행정기관명,동명,연령,성별구분,인구수
부산광역시 해운대구,송정동,10세 - 19세,남,283
부산광역시 해운대구,송정동,10세 - 19세,여,219
부산광역시 해운대구,송정동,20세 - 29세,남,523
부산광역시 해운대구,송정동,20세 - 29세,여,413
부산광역시 해운대구,송정동,30세 - 39세,남,587
부산광역시 해운대구,송정동,30세 - 39세,여,531
부산광역시 해운대구,송정동,40세 - 49세,남,684
부산광역시 해운대구,송정동,40세 - 49세,여,579
부산광역시 해운대구,송정동,50세 - 59세,남,736
부산광역시 해운대구,송정동,50세 - 59세,여,875
부산광역시 해운대구,송정동,60세 - 69세,남,887
부산광역시 해운대구,송정동,60세 - 69세,여,1113
부산광역시 해운대구,송정동,70세 - 79세,남,510
부산광역시 해운대구,송정동,70세 - 79세,여,603
부산광역시 해운대구,송정동,80세 - 89세,남,176
부산광역시 해운대구,송정동,80세 - 89세,여,368
부산광역시 해운대구,송정동,90세 - 99세,남,9
부산광역시 해운대구,송정동,90세 - 99세,여,56
부산광역시 해운대구,송정동,100세 - 109세,남,0
부산광역시 해운대구,송정동,100세 - 109세,여,2
부산광역시 해운대구,송정동,110세 이상,남,0
부산광역시 해운대구,송정동,110세 이상,여,0
부산광역시 해운대구,반여제1동,0세 - 9세,남,1204
부산광역시 해운대구,반여제1동,0세 - 9세,여,1143
부산광역시 해운대구,반여제1동,10세 - 19세,남,2054
부산광역시 해운대구,반여제1동,10세 - 19세,여,1887
부산광역시 해운대구,반여제1동,20세 - 29세,남,2092
부산광역시 해운대구,반여제1동,20세 - 29세,여,1811
부산광역시 해운대구,반여제1동,30세 - 39세,남,1777
부산광역시 해운대구,반여제1동,30세 - 39세,여,1797
부산광역시 해운대구,반여제1동,40세 - 49세,남,2632
부산광역시 해운대구,반여제1동,40세 - 49세,여,3074
부산광역시 해운대구,반여제1동,50세 - 59세,남,3126
부산광역시 해운대구,반여제1동,50세 - 59세,여,3220
부산광역시 해운대구,반여제1동,60세 - 69세,남,2523
부산광역시 해운대구,반여제1동,60세 - 69세,여,2573
부산광역시 해운대구,반여제1동,70세 - 79세,남,1189
부산광역시 해운대구,반여제1동,70세 - 79세,여,1327
부산광역시 해운대구,반여제1동,80세 - 89세,남,380
부산광역시 해운대구,반여제1동,80세 - 89세,여,661
부산광역시 해운대구,반여제1동,90세 - 99세,남,26
